generation,gain_enemy_2,gain_enemy_4,gain_enemy_6,kill_enemy_2,kill_enemy_4,kill_enemy_6,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.05599271081943812,0.059962396253235406,0.0075275896946764625,0.004179742186576707
0,15.5,-90.0,-95.0,0.5,0.0,0.0,0.08359341056532271,0.008504864911482057,0.08293636835006946,0.018058444544082532
0,-47.5,-70.0,-95.0,0.0,0.0,0.0,0.08878074886052861,0.06549649696344907,0.025682360245588898,0.06926593128299574
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.09639078031827528,0.026838317427817185,0.058580582335149456,0.08623468268054121
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.003938598343002919,0.05227552860746135,0.008405196108152546,0.03698757064554255
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.043868508293004066,0.03549905490958049,0.008007243259042951,0.07258857651357468
0,74.0,-60.0,-92.5,1.0,0.0,0.0,0.025150600401260992,0.015675988980588206,0.016308168340629727,0.00861169753593728
0,-80.0,-82.5,-70.0,0.0,0.0,0.0,0.003446613342266214,0.032948855319826255,0.0719765200181615,0.03452448927420996
0,6.0,-87.5,-95.0,0.5,0.0,0.0,0.07033105033340377,0.06893847855658328,0.07446817845032974,0.04110222970447563
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.03992988563392468,0.03979521113044492,0.058443384649324796,0.05616668851371262
0,-28.0,-90.0,-95.0,0.25,0.0,0.0,0.04475143217568466,0.09075535929933215,0.04349717642593556,0.0895812891530911
0,-85.0,-90.0,-95.0,0.0,0.0,0.0,0.03386504546356837,0.0007491252528298298,0.020772389120895098,0.05159616378469414
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.024961865543286655,0.022435686764166796,0.02879319139036647,0.012012207539932353
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.042265071616204075,0.0828607869512894,0.036227781514212576,0.024431660382000554
0,77.5,-85.0,-92.5,1.0,0.0,0.0,0.04624560278083707,0.015308570853144389,0.05447155807299874,0.02897811805327377
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.060233464476436994,0.037631834286261094,0.08474275888384658,0.07071912637895579
0,-100.0,-90.0,-100.0,0.0,0.0,0.0,0.08477730300654805,0.0897901834227852,0.029834285943854233,0.053026674557800836
0,-47.5,-70.0,-95.0,0.0,0.0,0.0,0.004979114464308443,0.03202909128048372,0.03339186111274224,0.021580705322819294
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.08724560744625419,0.03522339721319474,0.036229047384996084,0.03390945450606247
0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.09454573038117549,0.039187623238492286,0.05521685449230798,0.014082785770532725
0,-35.0,-90.0,-95.0,0.0,0.0,0.0,0.047728428251177825,0.09112008588215939,0.09390403778012388,0.053988263546462106
0,-52.5,-60.0,-95.0,0.0,0.0,0.0,0.04312966837379979,0.07845486383101404,0.06389031960629928,0.02592788311767924
