generation,gain_enemy_2,gain_enemy_6,gain_enemy_7,gain_enemy_8,kill_enemy_2,kill_enemy_6,kill_enemy_7,kill_enemy_8,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.08408414383184529,0.2780439739143748,0.2445886530432853,0.07596042419096584
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.045415237183913,0.13488145143420863,0.04588249515206544,0.010708842605151259
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.28676083515931716,0.26876937428201775,0.09440746783046111,0.10545486724847607
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.22644666988640305,0.1290090329180115,0.1640421452294506,0.0890175188034847
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.24644051178223153,0.0038664703192838323,0.1634275105382952,0.26836328598155545
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.29382785796351873,0.22537924683125637,0.2640272743370662,0.007335727194990715
0,-90.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.20389356156588853,0.09610778740162738,0.25038012039849306,0.12983985926783184
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.14315552025985093,0.2186696083255408,0.14828041495251956,0.0007978844412664498
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0454492598333332,0.16419700862088288,0.19648584373624747,0.0004414734010089183
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.06174985619706899,0.05668774596294498,0.13574243853719054,0.20947847360758784
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.03422834459365739,0.1973923498757221,0.01998435252517704,0.27857526611663713
0,56.5,-60.0,-37.5,-85.0,1.0,0.0,0.0,0.0,0.28480038712021666,0.12266508442833883,0.03777549474554513,0.2224258578494264
0,-7.5,-95.0,-57.5,-75.0,0.5,0.0,0.0,0.0,0.29321332256411037,0.1122975476285503,0.22346337630756552,0.24612290780601023
0,-85.0,-100.0,-70.0,-100.0,0.0,0.0,0.0,0.0,0.008496419323836824,0.13167081961931662,0.2816206237355688,0.1949654249813003
0,-55.0,-95.0,-32.5,-90.0,0.0,0.0,0.0,0.0,0.13887068998846924,0.18036317154676373,0.0981756872416969,0.00018523286649210213
0,6.0,-97.5,-42.5,-77.5,0.5,0.0,0.0,0.0,0.2919686064040217,0.013082852213757268,0.11501794433583952,0.18652640769502246
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.06655113745356413,0.2630984200728793,0.21605670404573096,0.1110713034644505
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.2152833337643213,0.01637837338518645,0.00846549763800064,0.04504946825266367
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.18953956193896207,0.024200803114181622,0.24746041114424894,0.28960331119163524
0,-100.0,-100.0,-75.0,-100.0,0.0,0.0,0.0,0.0,0.1047241768400587,0.0015075767186758626,0.11361600026915095,0.052856419123638476
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.1361333204084912,0.12284882918359223,0.13335956099395244,0.1466531555004082
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.19989894057876556,0.14346643940010848,0.26981315161465846,0.06892551851488593
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.012747273979545991,0.09185302140773571,0.23978431792643454,0.26705551106689984
0,6.0,-95.0,-42.5,25.75000000000025,0.5,0.0,0.0,1.0,0.17797176288843006,0.1516885448309565,0.032281780714260556,0.05821033779259518
0,-100.0,-100.0,-100.0,-97.5,0.0,0.0,0.0,0.0,0.029668621581003383,0.01749447649655381,0.20614124069002826,0.17553776146938094
0,15.0,-95.0,-60.0,-75.0,0.5,0.0,0.0,0.0,0.26099974593220315,0.2410009569780678,0.09173651450399344,0.06216791322824208
0,-65.0,-95.0,-97.5,-85.0,0.0,0.0,0.0,0.0,0.15842608727748717,0.14258526278699743,0.24404673591743872,0.07245821785730885
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.23077229645399655,0.08585359194752441,0.11195492194540427,0.23697409371381845
0,6.0,-95.0,-42.5,25.75000000000025,0.5,0.0,0.0,1.0,0.1826632647133222,0.18359682777854588,0.11859177824190609,0.29129196131270824
0,-100.0,-100.0,-60.0,-95.0,0.0,0.0,0.0,0.0,0.09550332911680627,0.0004224892087349885,0.13084339249303084,0.039059568325550506
0,-85.0,-95.0,-85.0,-65.0,0.0,0.0,0.0,0.0,0.21434686301136144,0.049304710600089625,0.10215598340648688,0.18936952473411633
0,-77.5,-92.5,-30.0,-90.0,0.0,0.0,0.0,0.0,0.23302460110540396,0.0805754844111073,0.2907088790927819,0.16235360766741258
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.004011065418853565,0.0029992476135373702,0.26178826052193593,0.2465924364814557
0,-100.0,-100.0,-67.5,-100.0,0.0,0.0,0.0,0.0,0.1527099336028816,0.22915967986418212,0.1928134091980914,0.0677431287668899
0,15.5,-95.0,-57.5,25.60000000000025,0.5,0.0,0.0,1.0,0.25147488393758743,0.1405171609002546,0.2708574478695991,0.029884520926020185
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.0644371906237698,0.05664134741719677,0.25575241135957194,0.14041595349169625
0,-62.5,-95.0,-97.5,-67.5,0.0,0.0,0.0,0.0,0.2381811791818425,0.014522830256300655,0.15623938842381938,0.12618098843764242
0,-70.0,-95.0,-92.5,-85.0,0.0,0.0,0.0,0.0,0.19401197611418303,0.1660820046887123,0.20380320129557786,0.20788886567580467
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.05144711989030406,0.007263228774822805,0.2367265136830427,0.10247716954543387
0,-50.0,-87.5,-5.549999999999871,-50.0,0.0,0.0,0.5,0.0,0.22889780286986747,0.026247098358565178,0.10647562937495442,0.2575116994779583
0,74.0,-92.5,-30.0,-90.0,1.0,0.0,0.0,0.0,0.20054570750846398,0.14780317532847645,0.08503176582532532,0.15361348766790808
0,-30.0,-65.0,-77.5,-55.0,0.0,0.0,0.0,0.0,0.2859754338434943,0.2763346127933831,0.24585820356875215,0.026942530419363873
0,27.0,-95.0,-35.0,25.60000000000025,0.75,0.0,0.0,1.0,0.12143957428286106,0.22379708039408067,0.28010849723283376,0.21465455805108838
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.1897437285402553,0.08816871166114108,0.22890050689498714,0.07688256024845493
0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,0.29576326526592567,0.21290808510871756,0.1173252730876734,0.290501746061644
