generation,gain_enemy_2,gain_enemy_6,kill_enemy_2,kill_enemy_6,sigma_0,sigma_1,sigma_2,sigma_3
0,-100.0,-100.0,0.0,0.0,0.26721730968611307,0.019221854555038886,0.06953772694851036,0.1558775538090006
0,-11.0,-100.0,0.5,0.0,0.2591582589514386,0.10128772631504888,0.25355135556053576,0.19426675070304336
0,-100.0,-100.0,0.0,0.0,0.18771246143144435,0.17743516372793322,0.11200624731305206,0.21809393710971048
0,-100.0,-100.0,0.0,0.0,0.26476028303519666,0.21056228272018757,0.2148126268392573,0.1994956815123808
0,-100.0,-100.0,0.0,0.0,0.023444310814502378,0.26414735474909345,0.265438595366776,0.009569487232843643
0,-4.0,-95.0,0.5,0.0,0.13336692076842943,0.16868985358379182,0.26107899675896584,0.21885584866353208
0,-100.0,-100.0,0.0,0.0,0.04046844802755468,0.16911591580572108,0.19466109467014048,0.0009392740069736671
0,-100.0,-100.0,0.0,0.0,0.14513945197908804,0.17024528886209997,0.01107631159352177,0.2249372941214881
0,-100.0,-100.0,0.0,0.0,0.13529936814746765,0.22739152054425357,0.1927622512939623,0.2858241314297968
0,-100.0,-100.0,0.0,0.0,0.1303968008766163,0.28415238384219677,0.16588195246891463,0.157533408033698
0,-100.0,-100.0,0.0,0.0,0.17814684139175696,0.14742160006140118,0.07771112612835064,0.27019604469581165
0,74.0,-92.5,1.0,0.0,0.2809788033563749,0.07493003750740249,0.26267539274542967,0.21582035915436526
0,7.0,-90.0,0.5,0.0,0.06420817122100328,0.10162906239980311,0.26556815402496803,0.14403694140780776
0,-82.5,-95.0,0.0,0.0,0.08983123068117427,0.24637933007701857,0.2519484950901297,0.2309640534825874
0,74.0,-97.5,1.0,0.0,0.12864610586707306,0.2450685729117856,0.2504237363788378,0.17046763136973722
0,-100.0,-100.0,0.0,0.0,0.24850039481369277,0.19298734624723526,0.06018597513325447,0.16640741859493227
0,-100.0,-100.0,0.0,0.0,0.2585463723757031,0.013909511023461872,0.009971171775340992,0.09328397354291669
0,-100.0,-100.0,0.0,0.0,0.1977053183165664,0.2815241243215838,0.02187492501159147,0.04899488364626185
0,11.5,-80.0,0.5,0.0,0.028952511871220832,0.06591241854658388,0.2585303305605807,0.08682877490923016
0,-82.5,-95.0,0.0,0.0,0.003848949282456271,0.22600171360531365,0.13750784220026777,0.2534891142609584
0,-100.0,-100.0,0.0,0.0,0.21989549534525446,0.14910620897203533,0.16245527421947523,0.26976434050876336
1,-100.0,-100.0,0.0,0.0,0.02846277552026206,0.17947397147578234,0.1386001964079587,0.1894029833134677
1,-100.0,-100.0,0.0,0.0,0.24542283712072244,0.22388003230276146,0.19277396424114554,0.12561283993251154
1,-100.0,-100.0,0.0,0.0,0.1991524561118804,0.18879807319638836,0.12196154909839517,0.09370119145242707
1,-72.5,-95.0,0.0,0.0,0.10631852697237405,0.06250264148250133,0.23060356664691076,0.11884288617083259
1,-100.0,-100.0,0.0,0.0,0.2674929452915683,0.21556386553618684,0.054653897122972105,0.21076158908442896
1,-100.0,-85.0,0.0,0.0,0.16394789769997242,0.29935864166973764,0.25427122930822393,0.05278158490180747
1,74.0,-92.5,1.0,0.0,0.22336187592944587,0.16009686535673073,0.09406081429535365,0.12864784419316513
1,-100.0,-100.0,0.0,0.0,0.13719237111952062,0.21714645567669333,0.12068261156987521,0.14745180052192558
1,-100.0,-100.0,0.0,0.0,0.2218650518249197,0.05479362121031783,0.17075244634309486,0.2719506451225279
1,-100.0,-100.0,0.0,0.0,0.22082229015477753,0.2833224544888479,0.2972159416004242,0.11361085234837688
1,-100.0,-100.0,0.0,0.0,0.0627180372757569,0.16725913820911276,0.2299039102794563,0.2334511549704146
1,-62.5,-95.0,0.0,0.0,0.21784048520650595,0.1318754481637877,0.23534186276431393,0.10392821456203735
1,-100.0,-100.0,0.0,0.0,0.22070139022119667,0.007743389563754131,0.025702680885237913,0.18250524806324786
1,-100.0,-100.0,0.0,0.0,0.19971929583299658,0.0860213461655845,0.2443343954150722,0.06919957019280255
1,-100.0,-100.0,0.0,0.0,0.2494700745427327,0.3,0.011447154966777938,0.10236569515517971
1,-100.0,-100.0,0.0,0.0,0.10812360723519508,0.2734977034708825,0.14170147896261176,0.007628318209653814
1,-95.0,-95.0,0.0,0.0,0.0403700575221015,0.09802464355149691,0.279444010640652,0.147367240448009
1,15.5,-95.0,0.5,0.0,0.041659836365445804,0.17942201360516075,0.12060045877337379,0.09589963900288004
1,-100.0,-100.0,0.0,0.0,0.07248760984493882,0.044485716238164066,0.2459243016963101,0.07219431792334652
